"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000051951.5" 9.60237930703517 -0.460967568040371 1.05665962886705 -0.436249815406141 0.662655488423843 NA
"ENSMUSG00000103922.1" 7.70978030260339 0.03413157870511 1.12607578657132 0.0303101968021478 0.97581966443809 NA
"ENSMUSG00000033845.13" 786.398975842429 -0.233555275173648 0.155532454584157 -1.50164977334215 0.133187581714146 0.459394045675197
"ENSMUSG00000102275.1" 69.5120544824272 0.000800307675240751 0.380811367141362 0.00210158557305792 0.998323178552377 0.99937189855319
"ENSMUSG00000025903.14" 1784.19780484497 0.144013892066669 0.140838037334119 1.02254969461848 0.306520804979848 0.676847498431943
"ENSMUSG00000104217.1" 3183.18414357112 0.168224647954268 0.126596939680936 1.32882081018899 0.183907094818791 0.539340175511722
"ENSMUSG00000033813.15" 1679.52520636514 0.215249576874781 0.133020373524695 1.61816999284565 0.105625967742546 0.413293001890794
"ENSMUSG00000002459.17" 39.1965443067374 -0.172806101087419 0.536642787383151 -0.322013274286381 0.747442638274783 0.93041613352329
"ENSMUSG00000033793.12" 1332.67457193123 0.200193884692617 0.176760198148647 1.13257332130994 0.257393477433541 0.628978399315722
"ENSMUSG00000025907.14" 571.959754773283 -0.132606235589557 0.173855879375312 -0.762736561259991 0.4456205214617 0.787162550119309
"ENSMUSG00000090031.2" 47.0024273817741 -0.880476175302563 0.43884683279196 -2.00634050313396 0.0448199314513548 0.252561197169872
"ENSMUSG00000033740.17" 17.309554915136 1.1559798643721 0.745232047031782 1.55116767854564 0.120861505669017 0.440448022190067
"ENSMUSG00000051285.17" 2777.89104050242 0.281983478580585 0.131062611200786 2.15151732440758 0.0314353898968305 0.203706551907946
"ENSMUSG00000103509.1" 110.25937467045 0.867070192658179 0.301631469328048 2.87460122973831 0.00404538066616282 0.0513452957487643
"ENSMUSG00000097797.6" 931.773700897239 1.79507313441537 0.15518302616195 11.5674579805011 6.02411087883864e-31 5.74064299470662e-28
"ENSMUSG00000103067.1" 34.0848308514128 0.583856642481062 0.523230052076433 1.11586985526545 0.264477846877926 0.637340335416839
"ENSMUSG00000025909.16" 35.7805912096045 0.25653956474137 0.522051425257681 0.491406693535496 0.623138830993788 0.882926199481428
"ENSMUSG00000061024.8" 291.937518635216 -0.395599402232737 0.21482033046077 -1.84153614038397 0.0655430294931329 0.320119471781238
"ENSMUSG00000025911.14" 261.667953578578 0.369528114798985 0.218044605278735 1.6947363330847 0.0901254499514902 0.380020118735966
"ENSMUSG00000079671.8" 21.55196420546 0.28634649578182 0.626920886451464 0.456750607564881 0.647850311160274 0.892587543492868
"ENSMUSG00000025912.16" 538.899188859193 0.00942207157477258 0.180386745992804 0.0522326156664993 0.958343344851455 0.991422205196901
"ENSMUSG00000045210.8" 487.925966177284 -0.287926343452179 0.17541577363712 -1.64139368702274 0.100715719496423 0.403074366897375
"ENSMUSG00000097893.8" 191.602372696576 2.77746919946594 0.303796743636521 9.14252459134011 6.10110910137367e-20 2.15697429268992e-17
"ENSMUSG00000025915.14" 694.194794631104 0.287484443533529 0.183770029300518 1.5643706682084 0.117730544925907 0.434902076013615
"ENSMUSG00000046101.16" 41.3736997485432 -1.27069877904186 0.467372447517655 -2.71881405459584 0.00655164272884822 0.0722546380495652
"ENSMUSG00000098234.7" 1964.17459983923 -0.498777548288348 0.1289832136718 -3.8669958213128 0.000110184315190423 0.00299049297224894
"ENSMUSG00000093178.1" 154.995757423577 -0.306378457601469 0.253481494490543 -1.20868175492353 0.226785133789192 0.594392497478302
"ENSMUSG00000099032.2" 37.4254105186115 0.0471051046262808 0.489205339626198 0.096289023873439 0.923291028260728 0.984347421509978
"ENSMUSG00000025916.10" 14.7292160267828 0.107830567335964 0.764123858514695 0.141116608432519 0.887777823315576 0.976098308263596
"ENSMUSG00000087199.1" 70.5812324166109 0.207226384744735 0.372337783750437 0.556554810681341 0.577831635988997 0.858492516333777
"ENSMUSG00000025917.9" 588.226719611483 0.109898326358362 0.169655308426421 0.647774168563813 0.517131025059002 0.828837061296407
"ENSMUSG00000056763.16" 1923.11208488971 0.251150880400676 0.131985245929766 1.90287087493342 0.0570573962068762 0.292850244505251
"ENSMUSG00000067851.11" 1463.01709787861 0.308844246139788 0.166905169866477 1.85041749387908 0.0642533995369598 0.316087882440713
"ENSMUSG00000102556.1" 22.9223229056704 0.198939748439129 0.628625778769073 0.316467690568907 0.751647545112931 0.931731490426666
"ENSMUSG00000042501.12" 12.9709176953059 -0.504118707877775 0.876221732121398 -0.575332349560956 0.565066547170588 0.853363122961515
"ENSMUSG00000048960.13" 1650.5696189753 0.516880655563844 0.175132886999376 2.9513626162383 0.00316375253724642 0.043069720056657
"ENSMUSG00000057715.13" 1274.50566608792 0.563566080761541 0.141870906252008 3.97238655655353 7.1156126080083e-05 0.00205824794376335
"ENSMUSG00000103825.1" 37.1200755370266 0.433565597481332 0.504315864625226 0.859710407491403 0.389948696340635 0.746766773286917
"ENSMUSG00000016918.15" 2055.70329514031 0.0809884644341291 0.146315447494272 0.553519575828108 0.579907679744564 0.859748449074845
"ENSMUSG00000025938.16" 161.760325850902 0.456862910312247 0.315014943369002 1.4502896447585 0.146977765513791 0.482971190011123
"ENSMUSG00000099498.1" 98.8895975386384 -0.207128503363903 0.311205587089415 -0.665568074471593 0.505687218215431 0.823027047160304
"ENSMUSG00000042414.7" 508.348330973825 -0.117449019784762 0.170516852624222 -0.688782475029558 0.490960165648431 0.817774298054724
"ENSMUSG00000005886.14" 3583.84825827836 0.221068054509412 0.150422476303031 1.46964775439584 0.141657179518812 0.474301307883307
