"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSMUSG00000025902.13" 10.5704777586166 2.25121526957791 0.964425781496361 1.72771487534424 0.0840393553008437 1
"ENSMUSG00000103922.1" 144.628180811083 0.0929436400773047 0.194073219600358 0 1 1
"ENSMUSG00000033845.13" 1803.06178760103 0.0645905319111443 0.0612169770884373 0 1 1
"ENSMUSG00000102275.1" 10.2076861540629 -0.606876429892616 0.708288127829607 -0.0309392863023283 0.975317958970429 1
"ENSMUSG00000025903.14" 1484.34559083776 -0.466163492513483 0.067948980340537 0 1 1
"ENSMUSG00000033813.15" 1169.92121466546 -0.0166883025065211 0.0802451591509539 0 1 1
"ENSMUSG00000002459.17" 11.1384385458039 3.52584377975512 1.70386122533206 1.72600986237058 0.0843456384707289 1
"ENSMUSG00000033793.12" 1053.15840356855 -0.0670781012686432 0.0868164630869523 0 1 1
"ENSMUSG00000025907.14" 554.634738150236 -0.417507170688281 0.108391978897642 0 1 1
"ENSMUSG00000090031.2" 20.3153536815246 -0.376016527314849 0.527036493936869 0 1 1
"ENSMUSG00000051285.17" 1016.51954893146 -0.110455058998193 0.0816343710958793 0 1 1
"ENSMUSG00000103509.1" 78.1760142354873 0.418200964811105 0.295843476241601 0 1 1
"ENSMUSG00000097797.6" 32.417155341755 1.77453823883751 0.461297064162041 2.57876286352971 0.00991548279741968 0.20641435838222
"ENSMUSG00000103933.1" 10.798525631455 -0.470499986297459 0.708331490106529 0 1 1
"ENSMUSG00000061024.8" 990.202181039339 -0.338328753160434 0.0797999607816567 0 1 1
"ENSMUSG00000025911.14" 91.5698437758403 -0.295084709218776 0.250002128720648 0 1 1
"ENSMUSG00000025912.16" 488.480893676752 -0.154578723795769 0.116657834223834 0 1 1
"ENSMUSG00000045210.8" 561.93076565284 -1.34503513018649 0.104471421451093 -7.27541196346366 3.45364863285671e-13 3.21166601483089e-11
"ENSMUSG00000097893.8" 53.939182750322 3.78373742335718 0.49631168670611 6.44509288883654 1.15529637355131e-10 8.73268141184374e-09
